회사명 : (주)청명기연환경 / 2024/07/18  ~ 2025/08/25  / 장비투입현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
일자-No.	,출고창고명	,입고창고명	,품목명	,규격	,수량	,장비상태	,비고
2024/07/21 -1	,청명	,현장	,KMS-4200	,18P355	,1,	,	
2024/07/21 -1	,청명	,현장	,KMS-4200	,18P366	,1,	,	
2024/07/21 -1	,청명	,현장	,KMS-4200	,22P617	,1,	,	
2024/07/21 -1	,청명	,현장	,KMS-4200	,19P404	,1,	,	
2024/07/21 -1	,청명	,현장	,PMS-204	,1904005	,1,	,	
2024/07/21 -1	,청명	,현장	,PMS-204	,1708791	,1,	,	
2024/07/21 -1	,청명	,현장	,PMS-204	,1501517	,1,	,	
2024/07/21 -1	,청명	,현장	,BMW-5000	,719	,1,	,	
2024/07/21 -1	,청명	,현장	,BMW-5000	,849	,1,	,	
2024/07/21 -1	,청명	,현장	,BMW-5000	,1315	,1,	,	
2024/07/21 -1	,청명	,현장	,BMW-5000	,1318	,1,	,	
2024/07/21 -1	,청명	,현장	,49i	,CM20477383	,1,	,	
2024/07/21 -1	,청명	,현장	,49i	,1182050011	,1,	,	
2024/07/21 -1	,청명	,현장	,49i	,CM19420293	,1,	,	
2024/07/21 -1	,청명	,현장	,Serinus10i	,21-0524	,1,	,	
2024/07/21 -1	,청명	,현장	,MEZUS-310	,K1614026A	,1,	,	
2024/07/21 -1	,청명	,현장	,MEZUS-310	,K1614025A	,1,	,	
2024/07/21 -1	,청명	,현장	,Serinus 30 i	,18-0328	,1,	,	
2024/07/21 -1	,청명	,현장	,Serinus30i	,20-1502	,1,	,	
2024/07/24 -3	,현장	,청명	,COS-100	,KM008W18CO77	,1,정상	,	
2024/07/24 -3	,현장	,청명	,악취샘플링 흡인박스	,흡인박스5	,1,정상	,	
2024/07/24 -3	,현장	,청명	,악취샘플링 흡인박스	,흡인박스4	,1,정상	,	
2024/07/24 -3	,현장	,청명	,MP-Σ100KNⅡ	,950574	,1,정상	,	
2024/07/24 -3	,현장	,청명	,MP-Σ30KNⅡ	,770659	,1,정상	,	
2024/07/24 -3	,현장	,청명	,KMS-5100	,23KR1728	,1,정상	,	
2024/07/24 -3	,현장	,청명	,KMS-5100	,23KR1730	,1,정상	,	
2024/07/24 -3	,현장	,청명	,Kestrel5500	,2390486	,1,정상	,	
2024/07/26 -1	,현장	,청명	,Serinus30i	,20-1348	,1,	,	
2024/07/26 -1	,현장	,청명	,Serinus30i	,21-0331	,1,	,	
2024/07/26 -1	,현장	,청명	,T8400ME	,4162/TA3674	,1,	,	
2024/07/26 -1	,현장	,청명	,T8400ME	,TA3154	,1,	,	
2024/07/26 -1	,현장	,청명	,KMS-4200	,18P370	,1,	,	
2024/07/26 -1	,현장	,청명	,KMS-4200	,18P357	,1,	,	
2024/07/26 -1	,현장	,청명	,PMS-204	,1501479	,1,	,	
2024/07/26 -1	,현장	,청명	,PMS-204	,1708789	,1,	,	
2024/07/26 -1	,현장	,청명	,Serinus10i	,20-1384	,1,	,	
2024/07/26 -1	,현장	,청명	,BMW-5000	,726	,1,	,	
2024/07/26 -1	,현장	,청명	,BMW-5000	,722	,1,	,	
2024/07/26 -1	,현장	,청명	,Serinus 10 i	,17-0130	,1,	,	
