회사명 : (주)청명기연환경 / 2025/01/01  ~ 2025/11/07  / AS수리현황,,,,,,,,
일자-No.,제목,거래처명,수리유형명,담당자명,품목명,단가,수리내역,일련번호
25/03/04-27,토탈 일반수리,토탈엔지니어링,일반수리,김균학,"(NOx, SOx) BMW-5000",,좌측 유량불량,722
25/03/04-28,토탈 일반수리,토탈엔지니어링,일반수리,김균학,"(NOx, SOx) BMW-5000","440,000",컨트롤보드 교체,857
25/03/04-29,토탈 일반수리,토탈엔지니어링,일반수리,김균학,"(NOx, SOx) BMW-5000",,좌측 유량불량,1790
25/03/04-30,토탈 일반수리,토탈엔지니어링,일반수리,김균학,"(NOx, SOx) BMW-5000",,좌측 유량불량,1798
25/03/04-31,토탈 일반수리,토탈엔지니어링,일반수리,김균학,"(NOx, SOx) BMW-5000",,양측 유량불량,1627
25/03/04-32,APM 정도검사,APM,정도검사,이형섭,(PM-2.5) PMS-204,"100,000",정도검사,1501514
25/03/04-33,APM 정도검사,APM,정도검사,이형섭,(PM-2.5) PMS-204,"100,000",정도검사,1501504
25/03/04-34,APM 정도검사,APM,정도검사,이형섭,(PM-2.5) PMS-204,"100,000",정도검사,1501490
25/03/04-35,APM 정도검사,APM,정도검사,이형섭,(PM-2.5) PMS-204,"100,000",정도검사,1501479
25/03/04-36,APM 일반수리,APM,일반수리,이형섭,이동차량(1017),,pm2.5 펌프수리,
25/03/06-2,태원시바타 정도검사,태원시바타,정도검사,신수용,(VOCs) MP-Σ30,,정도검사,532930
25/03/06-3,태원시바타 정도검사,태원시바타,정도검사,신수용,(VOCs) MP-Σ30,,정도검사,442388
25/03/06-4,태원시바타 정도검사,태원시바타,정도검사,신수용,(VOCs) MP-Σ30KNⅡ,,정도검사,770656
25/03/10-2,태원시바타 정도검사,태원시바타,정도검사,신수용,(VOCs) MP-Σ30KNⅡ,,정도검사,770659
25/03/18-2,토탈 일반수리,토탈엔지니어링,일반수리,성기성,"(NOx, SOx) BMW-5000","440,000",A셀 유량계 교체,1500
25/03/18-2,토탈 일반수리,토탈엔지니어링,일반수리,성기성,"(NOx, SOx) BMW-5000","385,000",A셀 펌프 교체,1500
25/03/18-2,토탈 일반수리,토탈엔지니어링,일반수리,성기성,"(NOx, SOx) BMW-5000","77,000",점검 및 정밀교정,1500
25/03/18-3,토탈 일반수리,토탈엔지니어링,일반수리,성기성,"(NOx, SOx) BMW-5000","77,000",점검 및 정밀교정,1744
25/03/18-4,토탈 일반수리,토탈엔지니어링,일반수리,성기성,"(NOx, SOx) BMW-5000","440,000",A셀 유량계 교체,1847
25/03/18-4,토탈 일반수리,토탈엔지니어링,일반수리,성기성,"(NOx, SOx) BMW-5000","385,000",A셀 펌프 교체,1847
25/03/18-4,토탈 일반수리,토탈엔지니어링,일반수리,성기성,"(NOx, SOx) BMW-5000","440,000",컨트롤보드 교체,1847
25/03/18-4,토탈 일반수리,토탈엔지니어링,일반수리,성기성,"(NOx, SOx) BMW-5000","77,000",점검 및 정밀교정,1847
25/03/18-5,토탈 일반수리,토탈엔지니어링,일반수리,성기성,"(NOx, SOx) BMW-5000","77,000",점검 및 정밀교정,1628
25/03/18-6,토탈 일반수리,토탈엔지니어링,일반수리,성기성,"(NOx, SOx) BMW-5000","77,000",점검 및 정밀교정,717
25/03/18-7,토탈 일반수리,토탈엔지니어링,일반수리,성기성,"(NOx, SOx) BMW-5000","77,000",점검 및 정밀교정,909
25/03/19-1,APM 정도검사,APM,정도검사,백승철,(O3) Serinus10i,"150,000",정도검사,21-1357
25/03/19-2,APM 정도검사,APM,정도검사,백승철,(O3) Serinus10i,"150,000",정도검사,17-0125
25/03/19-3,APM 정도검사,APM,정도검사,백승철,(O3) Serinus10i,"150,000",정도검사,21-0507
25/03/19-4,APM 정도검사,APM,정도검사,백승철,(O3) Serinus10i,"150,000",정도검사,17-0127
25/03/19-5,APM 정도검사,APM,정도검사,백승철,(O3) Serinus10i,"150,000",정도검사,17-0130
25/03/19-6,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,"100,000",정도검사,1501505
25/03/19-7,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,"100,000",정도검사,1501507
25/03/19-8,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,"100,000",정도검사,1501512
25/03/19-9,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,"100,000",정도검사,1501489
25/03/19-10,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,"100,000",정도검사,1501508
25/03/24-1,카인 확인필요,카인,확인필요,신수용,(VOCs) MP-Σ30KNⅡ,,확인필요,770656
25/03/24-2,카인 확인필요,카인,확인필요,신수용,(VOCs) MP-Σ30KNⅡ,,확인필요,770659
25/03/24-3,카인 확인필요,카인,확인필요,신수용,(VOCs) MP-Σ30,,확인필요,442388
25/03/24-4,카인 확인필요,카인,확인필요,신수용,(VOCs) MP-Σ30,,확인필요,532930
25/03/26-1,APM 일반수리,APM,일반수리,김균학,(NO2) Serinus40,"150,000",점검기술료,21-0518
25/03/26-1,APM 일반수리,APM,일반수리,김균학,(NO2) Serinus40,"900,000","DISPLAY, LCD, BLUE AND WHITE",21-0518
25/03/26-2,APM 일반수리,APM,일반수리,김균학,(CO) Serinus30i,,일반수리,20-2313
25/03/26-3,APM 일반수리,APM,일반수리,김균학,(NO2) Serinus40,"510,000","Pressure Gauge, Serinus PCA",21-0516
25/03/31-1,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"50,000",점검 및 수리,18P370
25/03/31-2,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"50,000",점검 및 수리,18P369
25/03/31-3,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"50,000",점검 및 수리,18P371
25/03/31-3,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"150,000",백엽상교체,18P371
25/03/31-3,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"100,000",외장온습도교체,18P371
25/03/31-4,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"50,000",점검 및 수리,18P372
25/03/31-5,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"50,000",점검 및 수리,18P374
25/03/31-6,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"50,000",점검 및 수리`,18P375
25/03/31-7,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"50,000",점검 및 수리,18P373
25/03/31-8,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"50,000",점검 및 수리,18P368
25/03/31-8,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,,SD카드 교체,18P368
25/03/31-9,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"50,000",점검 및 수리,18P366
25/03/31-10,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"50,000",점검 및 수리,18P367
25/03/31-11,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,"50,000",점검 및 수리,19P425
25/03/31-11,켐익 정도검사,켐익,정도검사,박혁,(PM-10) KMS-4200,,SD카드교체,19P425
25/03/31-12,켐익 정도검사,켐익,정도검사,박혁,(CO) MEZUS-310,,정도검사,K1614027A
25/04/02-1,카인 일반수리,카인,일반수리,신수용,(Pb) T8400ME,,일반수리,TA3696
25/04/02-2,카인 일반수리,카인,일반수리,신수용,(Pb) T8400ME,,일반수리,4211/TA3713
25/04/02-3,카인 일반수리,카인,일반수리,신수용,(Pb) T8400ME,,일반수리,TA3275
25/04/21-1,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,,정도검사,1501508
25/04/21-2,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,,정도검사,1501489
25/04/21-3,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,,정도검사,1501505
25/04/21-4,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,,정도검사,1501512
25/04/21-5,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,"100,000",점검대행료,1501490
25/04/21-6,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,"100,000",점검대행료,1501479
25/04/21-7,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,"100,000",점검대행료,1501514
25/04/21-8,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,"100,000",점검기술료,1501504
25/04/21-8,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,"100,000",점도검사 대행료,1501504
25/04/21-9,APM 정도검사,APM,정도검사,백승철,(PM-2.5) PMS-204,,정도검사,1501507
25/04/21-10,APM 일반수리,APM,일반수리,백승철,(NO2) Serinus40,,일반수리,21-0517
25/04/21-11,APM 정도검사,APM,정도검사,백승철,(O3) Serinus10i,,정도검사,21-1357
25/04/21-12,APM 정도검사,APM,정도검사,백승철,(O3) Serinus10i,,정도검사,17-0127
25/04/21-13,APM 정도검사,APM,정도검사,백승철,(O3) Serinus10i,,정도검사,17-0130
25/04/21-14,APM 정도검사,APM,정도검사,백승철,(O3) Serinus10i,,정도검사,21-0507
25/04/28-1,APM 일반수리,APM,일반수리,전창근,(O3) Serinus10,"150,000",점검기술료,17-0128
25/04/28-1,APM 일반수리,APM,일반수리,전창근,(O3) Serinus10i,"320,000",Scrubber,17-0128
25/04/29-1,카인 정도검사,카인,정도검사,전창근,(소음) SC-260,,정도검사,T242072
25/04/29-2,카인 정도검사,카인,정도검사,전창근,(소음) SC-260,,정도검사,T242109
25/04/29-3,카인 정도검사,카인,정도검사,전창근,(진동) VM-1220E,,정도검사,20E474
25/04/29-4,카인 정도검사,카인,정도검사,전창근,(진동) TYPE3233,,정도검사,190025
25/04/29-5,카인 정도검사,카인,정도검사,전창근,(진동) TYPE3233,,정도검사,190024
25/04/30-1,APM 정도검사,APM,정도검사,김현식,(O3) Serinus10i,"150,000",정도검사,17-0125
25/04/30-2,카인 정도검사,카인,정도검사,전창근,(소음) SC-260,,정도검사,T242072
25/04/30-3,카인 정도검사,카인,정도검사,전창근,(소음) SC-260,,정도검사,T242109
25/04/30-4,카인 정도검사,카인,정도검사,전창근,(진동) VM-1220E,,정도검사,20E474
25/04/30-5,카인 정도검사,카인,정도검사,전창근,(진동) TYPE3233,,정도검사,190024
25/04/30-6,카인 정도검사,카인,정도검사,전창근,(진동) TYPE3233,,정도검사,190025
25/05/08-1,켐익 일반수리,켐익,일반수리,전창근,(PM-10) KMS-4200,,기본점검내역,19P430
25/05/08-1,켐익 일반수리,켐익,일반수리,전창근,(PM-10) KMS-4200,,프로그램 재설치 및 SD카드교체,19P430
25/05/08-1,켐익 일반수리,켐익,일반수리,전창근,(PM-10) KMS-4200,,코인전지 교체,19P430
25/05/08-2,켐익 일반수리,켐익,일반수리,전창근,(PM-10) KMS-4200,,기본점검내역,20P569
25/05/08-2,켐익 일반수리,켐익,일반수리,전창근,(PM-10) KMS-4200,"370,000",유량미달 펌프교체,20P569
25/05/08-2,켐익 일반수리,켐익,일반수리,전창근,(PM-10) KMS-4200,"300,000",유량센서교체,20P569
25/05/22-1,태원시바타 정도검사,태원시바타,정도검사,신수용,(벤젠) MP-Σ30KNⅡ,,정도검사,141411
25/05/22-2,태원시바타 정도검사,태원시바타,정도검사,신수용,(벤젠) MP-Σ30KNⅡ,,,141412
25/05/22-3,표준교정기술원 교정,표준교정기술원,정도검사,신수용,Kestrel5500,"179,520",디지덜 온습도계 교정,2390486
25/05/22-3,표준교정기술원 교정,표준교정기술원,정도검사,신수용,Kestrel5500,"91,850","절대압계 (기압, 디지털) 교정",2390486
25/05/22-4,켐익 일반수리,켐익,일반수리,이형섭,(PM-2.5) KMS-4200,,,20P558
25/05/22-5,켐익 일반수리,켐익,일반수리,이형섭,(PM-10) KMS-4200,,,18P356
25/05/26-1,APM 일반수리,APM,일반수리,신재경,(O3) Serinus10,,,17-0988
25/06/02-1,태원시바타 정도검사,태원시바타,정도검사,신수용,MP-Σ100KNⅡ,,,950575
25/06/05-1,APM 일반수리,APM,일반수리,신재경,(PM-2.5) PMS-204,"100,000","장비 리크, 다운튜브 고무링 손상, 교체 리크 수정",1501518
25/06/05-2,APM 일반수리,APM,일반수리,신재경,(PM-2.5) PMS-204,"100,000","장비 리크, 다운튜브 고무링 손상, 교체 리크 수정 펌프 배출 라인 튜브 손상/이탈 확인, 튜브 교체, 재결속 및 고정 상태 점검 완료",1501519
25/06/05-3,APM 일반수리,APM,일반수리,신재경,(PM-10) PMS-204,"100,000","장비 리크, 다운튜브 고무링 손상, 교체 리크 수정",1904004
25/06/10-1,카인 일반수리,카인,일반수리,박소현,(소음) SC-260,,일반수리,T242109
25/06/10-2,카인 일반수리,카인,일반수리,박소현,(소음) SC-260,,무상점검 (전원 단자 오류 해결),T246352
25/06/19-1,토탈엔지니어링 일반수리,토탈엔지니어링,일반수리,조용재,"(NOx, SOx) BMW-5000",,일반수리,724
25/06/19-2,토탈엔지니어링 일반수리,토탈엔지니어링,일반수리,조용재,"(NOx, SOx) BMW-5000",,일반수리,849
25/06/19-3,토탈엔지니어링 일반수리,토탈엔지니어링,일반수리,조용재,"(NOx, SOx) BMW-5000","440,000",A셀 유량계 교체,1796
25/06/19-3,토탈엔지니어링 일반수리,토탈엔지니어링,일반수리,조용재,"(NOx, SOx) BMW-5000","385,000",A셀 펌프 교체,1796
25/06/19-3,토탈엔지니어링 일반수리,토탈엔지니어링,일반수리,조용재,"(NOx, SOx) BMW-5000","440,000",컨트롤보드 교체,1796
